task,time
start dynamic 0,1566584392.264
click,1566584392.272
click,1566584393.125
click,1566584393.715
click,1566584394.292
click,1566584394.863
click,1566584395.43
click,1566584395.995
click,1566584396.595
click,1566584397.195
stop dynamic0,1566584402.46
start static0,1566584439.898
click,1566584439.9
click,1566584440.649
click,1566584441.244
click,1566584441.847
click,1566584442.422
click,1566584442.979
click,1566584443.555
click,1566584444.124
click,1566584444.68
stop static0,1566584448.867
start dynamic 1,1566584486.309
click,1566584486.313
click,1566584487.22
click,1566584487.84
click,1566584488.406
click,1566584488.99
click,1566584489.549
click,1566584490.108
click,1566584490.657
click,1566584491.22
stop dynamic1,1566584495.844
start static1,1566584533.266
click,1566584533.269
click,1566584534.167
click,1566584534.741
click,1566584535.303
click,1566584535.875
click,1566584536.458
click,1566584537.027
click,1566584537.609
click,1566584538.179
stop static1,1566584542.52
