task,time
start dynamic 0,1566596419.117
click,1566596419.122
click,1566596419.973
click,1566596420.588
click,1566596421.184
click,1566596421.769
click,1566596422.353
click,1566596422.949
click,1566596423.518
click,1566596424.086
click,1566596424.651
stop dynamic 0,1566596429.069
start static 0,1566596438.51
click,1566596438.515
click,1566596439.28
click,1566596440.072
click,1566596440.654
click,1566596441.281
click,1566596441.873
click,1566596442.462
click,1566596443.042
stop static 0,1566596447.803
start dynamic 1,1566596457.327
click,1566596457.33
click,1566596458.052
click,1566596458.7
click,1566596459.395
click,1566596460.156
click,1566596460.746
click,1566596461.332
click,1566596461.904
stop dynamic 1,1566596467.501
start static 1,1566596477.741
click,1566596477.743
click,1566596478.628
click,1566596479.362
click,1566596480.08
click,1566596480.924
click,1566596481.679
click,1566596482.471
click,1566596483.24
stop static 1,1566596488.302
