task,time
start,1566571765.073
click,1566571765.081
click,1566571765.861
click,1566571766.447
click,1566571767.006
click,1566571767.575
click,1566571768.13
click,1566571768.687
click,1566571769.255
click,1566571769.823
stop,1566571774.094
