task,time
start dynamic 0,1566585647.387
click,1566585647.394
click,1566585648.35
click,1566585648.962
click,1566585649.579
click,1566585650.153
click,1566585650.779
click,1566585651.351
click,1566585651.98
click,1566585652.541
click,1566585653.258
click,1566585653.816
click,1566585654.377
click,1566585654.96
click,1566585655.531
click,1566585656.098
click,1566585656.662
click,1566585657.226
click,1566585657.81
click,1566585658.388
click,1566585658.94
click,1566585659.507
click,1566585660.079
click,1566585660.648
click,1566585661.204
click,1566585661.783
click,1566585662.348
click,1566585662.906
click,1566585663.46
click,1566585664.009
click,1566585664.577
click,1566585665.132
click,1566585665.694
click,1566585666.27
click,1566585666.824
click,1566585667.392
stop dynamic 0,1566585671.092
start static 0,1566585708.417
click,1566585708.419
click,1566585709.137
click,1566585709.724
click,1566585710.306
click,1566585710.869
click,1566585711.448
click,1566585712.034
click,1566585712.595
click,1566585713.152
click,1566585713.738
click,1566585714.414
click,1566585715.016
click,1566585715.58
click,1566585716.149
click,1566585716.711
click,1566585717.279
click,1566585717.835
click,1566585718.396
click,1566585718.962
click,1566585719.525
click,1566585720.097
click,1566585720.667
click,1566585721.241
click,1566585721.818
click,1566585722.391
click,1566585722.946
click,1566585723.509
click,1566585724.067
click,1566585724.644
click,1566585725.212
click,1566585725.776
click,1566585726.343
click,1566585726.919
click,1566585727.49
click,1566585728.062
stop static 0,1566585731.865
start dynamic 1,1566585770.339
click,1566585770.342
click,1566585771.014
click,1566585771.588
click,1566585772.154
click,1566585772.725
click,1566585773.285
click,1566585773.848
click,1566585774.404
click,1566585774.981
click,1566585775.548
click,1566585776.265
click,1566585776.834
click,1566585777.401
click,1566585777.963
click,1566585778.533
click,1566585779.11
click,1566585779.672
click,1566585780.234
click,1566585780.817
click,1566585781.385
click,1566585781.947
click,1566585782.512
click,1566585783.069
click,1566585783.634
click,1566585784.195
click,1566585784.761
click,1566585785.325
click,1566585785.895
click,1566585786.461
click,1566585787.018
click,1566585787.579
click,1566585788.132
click,1566585788.708
click,1566585789.276
click,1566585789.854
stop dynamic 1,1566585793.981
start static 1,1566585832.143
click,1566585832.146
click,1566585833.061
click,1566585833.657
click,1566585834.245
click,1566585834.824
click,1566585835.414
click,1566585836.056
click,1566585836.626
click,1566585837.223
click,1566585837.802
click,1566585838.37
click,1566585838.935
click,1566585839.505
click,1566585840.077
click,1566585840.654
click,1566585841.234
click,1566585841.818
click,1566585842.406
click,1566585842.973
click,1566585843.562
click,1566585844.136
click,1566585844.7
click,1566585845.267
click,1566585845.849
click,1566585846.42
click,1566585847.002
click,1566585847.566
click,1566585848.154
click,1566585848.735
click,1566585849.311
click,1566585849.884
click,1566585850.461
click,1566585851.032
click,1566585851.605
stop static 1,1566585854.712
