task,time
start v1 0,1579021092.4303765
click,1579021097.7884333
click,1579021100.5846243
stop v1 0,1579021103.6932921
start v2 0,1579021133.7010086
click,1579021138.855964
click,1579021139.5120854
click,1579021140.1057005
click,1579021140.699375
click,1579021141.2773445
click,1579021141.8709533
click,1579021142.4801884
click,1579021143.0737975
click,1579021143.6674042
click,1579021144.2610157
stop v2 0,1579021145.7449665
start v1 1,1579021175.7577493
click,1579021180.9105334
click,1579021182.916527
click,1579021185.1230998
click,1579021187.449049
stop v1 1,1579021190.6358783
start v2 1,1579021220.6444407
click,1579021225.8462634
click,1579021226.4712055
click,1579021227.0960493
click,1579021227.7052736
click,1579021228.298883
click,1579021228.892496
click,1579021229.501695
click,1579021230.0953462
click,1579021230.7045047
click,1579021231.3138099
stop v2 1,1579021232.8133957
start v1 2,1579021262.8199704
click,1579021268.00617
click,1579021270.4023259
click,1579021272.526911
click,1579021274.7022986
stop v1 2,1579021278.0758784
start v2 2,1579021308.0876086
click,1579021313.3050568
click,1579021313.9456193
click,1579021314.5391848
click,1579021315.1483722
click,1579021315.7263694
click,1579021316.3200717
click,1579021316.8980455
click,1579021317.507197
click,1579021318.0852084
click,1579021318.6788855
stop v2 2,1579021320.1784384
start v1 3,1579021350.1870925
click,1579021355.3420393
click,1579021357.8884113
click,1579021359.9035118
click,1579021361.9967222
stop v1 3,1579021365.9123995
start v2 3,1579021395.9263082
click,1579021401.0847833
click,1579021401.7253544
click,1579021402.3501103
click,1579021402.9125516
click,1579021403.5061662
click,1579021404.1153188
click,1579021404.6933146
click,1579021405.3026235
click,1579021405.8649783
click,1579021406.458523
stop v2 3,1579021408.020677
