task,time
start dynamic 0,1566598625.297
click,1566598625.302
click,1566598626.05
click,1566598626.712
click,1566598627.362
click,1566598627.986
click,1566598628.631
click,1566598629.268
click,1566598629.886
stop dynamic 0,1566598634.859
start static 0,1566598644.437
click,1566598644.438
click,1566598645.077
click,1566598645.69
click,1566598646.325
click,1566598647.023
click,1566598647.639
click,1566598648.271
click,1566598648.875
stop static 0,1566598653.422
start dynamic 1,1566598662.952
click,1566598662.956
click,1566598663.701
click,1566598664.445
click,1566598665.135
click,1566598665.798
click,1566598666.434
click,1566598667.098
click,1566598667.745
stop dynamic 1,1566598673.152
start static 1,1566598682.655
click,1566598682.659
click,1566598683.445
click,1566598684.07
click,1566598684.703
click,1566598685.349
click,1566598685.958
click,1566598686.588
click,1566598687.2
stop static 1,1566598692.064
