task,time
start dynamic,1566583980.909
click,1566583980.914
click,1566583981.804
click,1566583982.632
click,1566583983.201
click,1566583983.765
click,1566583984.332
click,1566583984.9
click,1566583985.857
click,1566583986.447
click,1566583987.013
click,1566583987.582
click,1566583988.162
click,1566583988.737
click,1566583989.299
click,1566583989.872
click,1566583990.444
click,1566583991.063
click,1566583992.77
click,1566583993.413
click,1566583994.016
click,1566583994.593
click,1566583995.226
click,1566583995.797
click,1566583996.425
click,1566583997.2
click,1566583997.766
click,1566583998.344
click,1566583998.914
click,1566583999.5
click,1566584000.073
click,1566584000.641
stop dynamic,1566584006.963
start static,1566584048.04
click,1566584048.044
click,1566584048.704
click,1566584049.434
click,1566584050.142
click,1566584050.704
click,1566584051.373
click,1566584052.222
click,1566584052.835
click,1566584053.4
click,1566584053.973
click,1566584054.535
click,1566584055.101
click,1566584055.663
click,1566584056.229
click,1566584056.835
click,1566584057.4
click,1566584057.972
click,1566584058.623
click,1566584059.233
click,1566584059.836
click,1566584060.411
click,1566584060.979
click,1566584061.542
click,1566584062.113
click,1566584062.675
click,1566584063.227
click,1566584063.789
click,1566584064.377
click,1566584064.944
click,1566584065.51
click,1566584066.077
click,1566584066.645
click,1566584067.248
click,1566584067.844
stop static,1566584074.348
start dynamic,1566584112.403
click,1566584112.406
click,1566584113.141
click,1566584113.77
click,1566584114.353
click,1566584114.964
click,1566584115.703
click,1566584116.27
click,1566584116.842
click,1566584117.437
click,1566584118.023
click,1566584118.618
click,1566584119.216
click,1566584119.787
click,1566584120.375
click,1566584121.088
click,1566584121.652
click,1566584122.222
click,1566584122.782
click,1566584123.35
click,1566584123.914
click,1566584124.485
click,1566584125.045
click,1566584125.603
click,1566584126.163
click,1566584126.728
click,1566584127.285
click,1566584127.851
click,1566584128.418
click,1566584129.0
click,1566584129.574
click,1566584130.15
click,1566584130.75
click,1566584131.324
click,1566584131.901
stop dynamic,1566584137.119
start static,1566584176.154
click,1566584176.158
click,1566584176.837
click,1566584177.445
click,1566584178.146
click,1566584178.737
click,1566584179.325
click,1566584179.975
click,1566584180.79
click,1566584181.454
click,1566584182.022
click,1566584182.604
click,1566584183.219
click,1566584183.787
click,1566584184.351
click,1566584184.919
click,1566584185.487
click,1566584186.058
click,1566584186.638
click,1566584187.232
click,1566584187.806
click,1566584188.385
click,1566584188.952
click,1566584189.52
click,1566584190.093
click,1566584190.722
click,1566584191.303
click,1566584191.883
click,1566584192.45
click,1566584193.023
click,1566584193.633
click,1566584194.26
click,1566584194.869
click,1566584195.467
click,1566584196.076
stop static,1566584200.04
