task,time
start v1 0,1579029291.3685865
click,1579029298.7724557
click,1579029303.6743414
stop v1 0,1579029307.535047
start v2 0,1579029337.5449553
click,1579029344.4380157
click,1579029345.2992368
click,1579029346.0012805
click,1579029346.701015
click,1579029347.4096763
click,1579029348.0812178
click,1579029348.7675254
click,1579029349.4328902
stop v2 0,1579029351.5601323
start v1 1,1579029381.5684347
click,1579029388.4984033
click,1579029392.249661
stop v1 1,1579029396.8789346
start v2 1,1579029426.8924572
click,1579029433.8272846
click,1579029434.8188787
click,1579029435.521038
click,1579029436.219821
click,1579029436.9154158
click,1579029437.5700705
click,1579029438.3045135
click,1579029438.982726
stop v2 1,1579029441.1861777
start v1 2,1579029471.197999
click,1579029478.1275713
click,1579029480.7802851
stop v1 2,1579029485.152533
start v2 2,1579029515.1596568
click,1579029522.0785637
click,1579029522.929976
click,1579029523.6999931
click,1579029524.4246957
click,1579029525.086789
click,1579029525.707098
click,1579029526.3823044
click,1579029527.0705206
stop v2 2,1579029529.2798367
start v1 3,1579029559.2812197
click,1579029566.2467418
click,1579029568.7080295
stop v1 3,1579029572.9655204
start v2 3,1579029602.9745865
click,1579029609.8946157
click,1579029610.7590559
click,1579029611.5017493
click,1579029612.2438283
click,1579029612.9066567
click,1579029613.5425498
click,1579029614.243501
click,1579029614.8944268
stop v2 3,1579029617.015844
