task,time
start dynamic 0,1566662503.755
click,1566662503.761
click,1566662504.861
click,1566662505.852
click,1566662506.833
click,1566662507.83
click,1566662508.766
stop dynamic 0,1566662513.242
start static 0,1566662540.722
click,1566662540.728
click,1566662541.429
click,1566662542.026
click,1566662542.617
click,1566662543.197
click,1566662543.779
click,1566662544.425
click,1566662545.024
click,1566662545.604
click,1566662546.227
stop static 0,1566662549.993
start dynamic 1,1566662577.434
click,1566662577.439
click,1566662578.514
click,1566662579.535
click,1566662580.482
click,1566662581.431
click,1566662582.346
stop dynamic 1,1566662586.521
start static 1,1566662613.97
click,1566662613.975
click,1566662614.692
click,1566662615.291
click,1566662615.885
click,1566662616.484
click,1566662617.082
click,1566662617.66
click,1566662618.233
click,1566662618.82
click,1566662619.443
stop static 1,1566662623.015
