task,time
start dynamic 0,1566584961.197
click,1566584961.202
click,1566584961.983
click,1566584962.772
click,1566584963.359
click,1566584964.019
click,1566584964.585
click,1566584965.162
click,1566584965.734
click,1566584966.316
click,1566584966.882
click,1566584967.483
click,1566584968.352
click,1566584968.963
click,1566584969.556
click,1566584970.114
click,1566584970.681
click,1566584971.279
click,1566584971.861
click,1566584972.433
click,1566584973.009
click,1566584973.563
click,1566584974.118
click,1566584974.691
click,1566584975.244
click,1566584975.8
click,1566584976.364
click,1566584976.924
click,1566584977.493
click,1566584978.062
click,1566584978.635
click,1566584979.195
click,1566584979.774
click,1566584980.343
click,1566584980.916
stop dynamic 0,1566584984.847
start static 0,1566585022.432
click,1566585022.439
click,1566585023.192
click,1566585023.905
click,1566585024.488
click,1566585025.052
click,1566585025.685
click,1566585026.25
click,1566585026.824
click,1566585027.404
click,1566585028.074
click,1566585028.717
click,1566585029.304
click,1566585029.873
click,1566585030.44
click,1566585031.008
click,1566585031.582
click,1566585032.15
click,1566585032.731
click,1566585033.289
click,1566585033.887
click,1566585034.464
click,1566585035.037
click,1566585035.616
click,1566585036.194
click,1566585036.763
click,1566585037.333
click,1566585037.914
click,1566585038.504
click,1566585039.078
click,1566585039.648
click,1566585040.21
click,1566585040.783
click,1566585041.353
click,1566585041.933
stop static 0,1566585045.601
start dynamic 1,1566585082.939
click,1566585082.943
click,1566585083.613
click,1566585084.191
click,1566585084.821
click,1566585085.411
click,1566585085.99
click,1566585086.575
click,1566585087.15
click,1566585087.721
click,1566585088.278
click,1566585088.844
click,1566585089.541
click,1566585090.136
click,1566585090.72
click,1566585091.294
click,1566585091.89
click,1566585092.458
click,1566585093.019
click,1566585093.594
click,1566585094.152
click,1566585094.719
click,1566585095.286
click,1566585095.852
click,1566585096.419
click,1566585096.991
click,1566585097.551
click,1566585098.132
click,1566585098.686
click,1566585099.258
click,1566585099.808
click,1566585100.383
click,1566585100.965
click,1566585101.534
click,1566585102.132
click,1566585102.688
stop dynamic 1,1566585106.505
start static 1,1566585143.847
click,1566585143.85
click,1566585144.623
click,1566585145.196
click,1566585145.764
click,1566585146.325
click,1566585146.891
click,1566585147.485
click,1566585148.117
click,1566585148.945
click,1566585149.536
click,1566585150.127
click,1566585150.725
click,1566585151.282
click,1566585151.845
click,1566585152.407
click,1566585152.98
click,1566585153.559
click,1566585154.136
click,1566585154.694
click,1566585155.274
click,1566585155.847
click,1566585156.425
click,1566585156.978
click,1566585157.571
click,1566585158.13
click,1566585158.691
click,1566585159.255
click,1566585159.827
click,1566585160.403
click,1566585160.96
click,1566585161.534
click,1566585162.09
click,1566585162.644
click,1566585163.221
click,1566585163.789
stop static 1,1566585167.38
