task,time
start dynamic 0,1566597652.896
click,1566597652.898
click,1566597653.836
click,1566597654.447
click,1566597655.064
click,1566597655.679
click,1566597656.325
click,1566597656.93
click,1566597657.558
stop dynamic 0,1566597658.321
start static 0,1566597665.811
click,1566597665.813
click,1566597666.561
click,1566597667.187
click,1566597667.795
click,1566597668.395
click,1566597671.003
stop static 0,1566597671.685
start dynamic 1,1566597679.442
click,1566597679.444
click,1566597680.388
click,1566597680.989
click,1566597681.603
click,1566597682.214
click,1566597682.813
click,1566597683.413
click,1566597684.035
stop dynamic 1,1566597684.707
start static 1,1566597692.534
click,1566597694.539
click,1566597695.306
click,1566597695.937
click,1566597696.553
click,1566597697.146
click,1566597697.743
click,1566597698.348
click,1566597698.946
stop static 1,1566597699.645
