task,time
start v1 0,1579031900.1681411
click,1579031907.6139188
click,1579031910.253344
click,1579031912.7659516
click,1579031951.3112495
stop v1 0,1579031955.1775177
start v2 0,1579031985.1872349
click,1579031992.1414862
click,1579031993.0010052
click,1579031993.7015085
click,1579031994.387412
click,1579031995.0861478
click,1579031995.76969
click,1579031996.4524996
click,1579031997.1189072
click,1579031997.7961113
click,1579031998.5009458
click,1579031999.176061
click,1579031999.8594503
click,1579032000.5345588
click,1579032001.1768045
click,1579032001.9008389
click,1579032002.6343513
click,1579032003.3072097
click,1579032003.9837697
click,1579032004.6249802
click,1579032005.3334944
click,1579032006.033161
click,1579032006.6910946
click,1579032007.3914976
click,1579032008.0335627
click,1579032008.7574914
click,1579032009.462648
click,1579032010.115212
click,1579032010.7813766
click,1579032011.4913828
click,1579032012.1656232
stop v2 0,1579032014.2856085
start v1 1,1579032044.297806
click,1579032051.1904092
click,1579032053.8474598
click,1579032055.9105191
click,1579032058.2152712
click,1579032061.5818598
click,1579032063.9202323
click,1579032065.896607
click,1579032068.7616954
click,1579032070.5201893
click,1579032073.0845802
stop v1 1,1579032077.2324362
start v2 1,1579032107.2469714
click,1579032114.1702347
click,1579032115.0774126
click,1579032115.816449
click,1579032116.5080163
click,1579032117.1950428
click,1579032117.8878736
click,1579032118.736485
click,1579032119.6889186
click,1579032120.443514
click,1579032121.2066011
click,1579032121.973587
click,1579032122.6836267
click,1579032123.3643186
click,1579032124.0601296
click,1579032124.792143
click,1579032125.5003839
click,1579032126.2247071
click,1579032126.9234767
click,1579032127.5519347
click,1579032128.1900313
click,1579032128.8757532
click,1579032129.5500154
click,1579032130.2438731
click,1579032130.9564219
click,1579032131.6513069
click,1579032132.3415332
click,1579032133.0563195
click,1579032133.7339401
stop v2 1,1579032136.0642827
start v1 2,1579032166.0699143
click,1579032173.0325348
click,1579032175.8199902
click,1579032178.192065
click,1579032180.4378412
click,1579032183.4344084
click,1579032185.4057088
click,1579032188.2675455
click,1579032190.6345918
stop v1 2,1579032194.7853477
start v2 2,1579032224.7900982
click,1579032231.7240145
click,1579032232.6584375
click,1579032233.3736143
click,1579032234.1060216
click,1579032234.8051896
click,1579032235.472325
click,1579032236.167058
click,1579032236.8474061
click,1579032237.5448985
click,1579032238.2631254
click,1579032238.9876857
click,1579032239.6498148
click,1579032240.3477883
click,1579032241.0016675
click,1579032241.7010138
click,1579032242.4018786
click,1579032243.1284735
click,1579032243.8023808
click,1579032244.47656
click,1579032245.1658876
click,1579032245.8335636
click,1579032246.5482538
click,1579032248.0790548
click,1579032248.7271307
click,1579032249.4346852
click,1579032250.1005678
click,1579032250.7613094
click,1579032251.4090588
stop v2 2,1579032253.596039
start v1 3,1579032283.5975516
click,1579032290.5126004
click,1579032293.3855748
click,1579032295.3663921
click,1579032297.4104242
click,1579032299.1862774
click,1579032301.1269593
click,1579032303.7258375
click,1579032305.5328803
click,1579032308.2254007
click,1579032310.870977
stop v1 3,1579032315.354788
start v2 3,1579032345.3565397
click,1579032352.7969716
click,1579032353.6046913
click,1579032354.3122644
click,1579032354.991246
click,1579032355.6813414
click,1579032356.397173
click,1579032357.1282377
click,1579032357.8146076
click,1579032358.5128834
click,1579032359.1809509
click,1579032359.91362
click,1579032360.6035557
click,1579032361.2476945
click,1579032361.9034986
click,1579032362.612167
click,1579032363.2870767
click,1579032363.9393444
click,1579032364.6277325
click,1579032365.3513312
click,1579032366.0221386
click,1579032366.7569897
click,1579032367.407949
click,1579032368.1102808
click,1579032369.4603102
click,1579032370.1201289
click,1579032370.7933156
click,1579032371.5529811
click,1579032372.2762165
stop v2 3,1579032374.4464712
