mA,V,time
579.9,4.464,1579037813.5227203
579.3000000000001,4.464,1579037813.588482
581.4,4.464,1579037813.6535504
578.9,4.464,1579037813.7193913
580.6,4.464,1579037813.7857735
580.2,4.464,1579037813.8515515
579.0,4.464,1579037813.9173555
581.4,4.464,1579037813.9823587
579.2,4.464,1579037814.0484295
580.6,4.464,1579037814.1146421
580.7,4.464,1579037814.180514
578.8000000000001,4.464,1579037814.245322
581.3000000000001,4.464,1579037814.3114166
579.3000000000001,4.464,1579037814.3773491
580.1,4.464,1579037814.4430308
580.8000000000001,4.464,1579037814.5093746
578.6,4.464,1579037814.575135
580.5,4.464,1579037814.6403334
577.6,4.464,1579037814.7061667
577.4,4.464,1579037814.7715373
578.8000000000001,4.464,1579037814.8373387
576.2,4.464,1579037814.9033272
578.7,4.464,1579037814.969371
577.8000000000001,4.464,1579037815.0351908
577.5,4.464,1579037815.101403
579.2,4.464,1579037815.1661265
576.4,4.464,1579037815.2329688
578.4,4.464,1579037815.2982605
578.0,4.464,1579037815.364104
576.8000000000001,4.464,1579037815.4303513
579.5,4.464,1579037815.4951572
576.6,4.464,1579037815.5614598
578.2,4.464,1579037815.6273708
579.3000000000001,4.464,1579037815.69302
579.1,4.464,1579037815.7583432
581.6,4.464,1579037815.824092
579.4,4.464,1579037815.8903136
580.1,4.464,1579037815.9562051
580.8000000000001,4.464,1579037816.0220811
578.7,4.464,1579037816.0870302
581.7,4.464,1579037816.1527963
579.4,4.464,1579037816.2188146
579.9,4.464,1579037816.2848747
581.1,4.464,1579037816.3506389
578.6,4.464,1579037816.4168136
581.2,4.464,1579037816.4815655
579.9,4.464,1579037816.5480118
579.8000000000001,4.464,1579037816.6138341
581.5,4.464,1579037816.679606
577.8000000000001,4.464,1579037816.7460504
578.8000000000001,4.464,1579037816.8106887
578.1,4.464,1579037816.8769507
577.1,4.464,1579037816.9427502
579.2,4.464,1579037817.0097487
576.5,4.464,1579037817.0737429
578.2,4.464,1579037817.1395314
578.6,4.464,1579037817.2057657
