task,time
start dynamic 0,1566599189.734
click,1566599189.736
click,1566599190.404
click,1566599191.019
click,1566599191.625
click,1566599192.24
click,1566599192.859
click,1566599193.608
click,1566599194.222
click,1566599194.834
click,1566599195.461
click,1566599196.103
click,1566599196.72
click,1566599197.34
click,1566599197.951
click,1566599198.567
click,1566599199.17
click,1566599199.778
click,1566599200.381
click,1566599201.008
click,1566599201.615
click,1566599202.226
click,1566599202.829
click,1566599203.433
click,1566599204.032
click,1566599204.636
click,1566599205.248
click,1566599205.861
click,1566599206.473
click,1566599207.078
click,1566599207.676
click,1566599208.278
click,1566599208.879
click,1566599209.521
click,1566599210.124
stop dynamic 0,1566599213.851
start static 0,1566599241.334
click,1566599241.339
click,1566599242.015
click,1566599242.602
click,1566599243.197
click,1566599243.793
click,1566599244.381
click,1566599244.98
click,1566599245.565
click,1566599246.16
click,1566599247.326
click,1566599247.91
click,1566599248.523
click,1566599249.124
click,1566599249.716
click,1566599250.296
click,1566599250.909
click,1566599251.495
click,1566599252.089
click,1566599252.676
click,1566599253.256
click,1566599253.861
click,1566599254.456
click,1566599255.037
click,1566599255.62
click,1566599256.205
click,1566599256.795
click,1566599257.384
click,1566599257.968
click,1566599258.536
click,1566599259.108
click,1566599259.692
click,1566599260.277
click,1566599260.883
click,1566599261.483
stop static 0,1566599265.088
start dynamic 1,1566599293.137
click,1566599293.141
click,1566599293.87
click,1566599294.487
click,1566599295.118
click,1566599295.721
click,1566599296.327
click,1566599296.939
click,1566599297.575
click,1566599298.212
click,1566599298.846
click,1566599299.481
click,1566599300.115
click,1566599300.722
click,1566599301.34
click,1566599301.952
click,1566599302.553
click,1566599303.167
click,1566599303.827
click,1566599304.443
click,1566599305.054
click,1566599305.66
click,1566599306.267
click,1566599306.877
click,1566599307.494
click,1566599308.095
click,1566599308.709
click,1566599309.329
click,1566599309.931
click,1566599310.549
click,1566599311.15
click,1566599311.758
click,1566599312.357
click,1566599312.976
click,1566599313.573
stop dynamic 1,1566599317.475
start static 1,1566599345.512
click,1566599345.517
click,1566599346.212
click,1566599346.814
click,1566599347.4
click,1566599348.013
click,1566599348.592
click,1566599349.192
click,1566599349.76
click,1566599350.34
click,1566599350.96
click,1566599351.576
click,1566599352.157
click,1566599352.741
click,1566599353.339
click,1566599353.924
click,1566599354.52
click,1566599355.157
click,1566599355.787
click,1566599356.362
click,1566599356.955
click,1566599357.54
click,1566599358.121
click,1566599358.691
click,1566599359.26
click,1566599359.848
click,1566599360.443
click,1566599361.04
click,1566599361.638
click,1566599362.218
click,1566599362.785
click,1566599363.366
click,1566599363.935
click,1566599364.504
click,1566599365.086
stop static 1,1566599369.168
