mA,V,time
499.5,4.548,1566663605.9891856
498.40000000000003,4.548,1566663606.035599
496.3,4.548,1566663606.1013656
498.20000000000005,4.548,1566663606.1671064
498.6,4.548,1566663606.2328284
498.90000000000003,4.548,1566663606.2984343
498.5,4.548,1566663606.3640623
499.0,4.548,1566663606.4296427
499.1,4.548,1566663606.4952946
499.40000000000003,4.548,1566663606.5612843
499.3,4.548,1566663606.6271093
499.0,4.548,1566663606.6937146
497.40000000000003,4.548,1566663606.7581744
499.6,4.548,1566663606.8237085
499.5,4.548,1566663606.889336
499.70000000000005,4.548,1566663606.9548857
499.3,4.548,1566663607.0204463
498.5,4.548,1566663607.0859516
499.3,4.548,1566663607.1536562
499.1,4.548,1566663607.2181547
498.90000000000003,4.548,1566663607.2837963
498.5,4.548,1566663607.3493886
498.5,4.548,1566663607.4149497
499.3,4.548,1566663607.480756
499.5,4.548,1566663607.5464892
498.40000000000003,4.548,1566663607.612223
498.8,4.548,1566663607.6779454
498.90000000000003,4.548,1566663607.7436342
499.20000000000005,4.548,1566663607.8091965
498.5,4.548,1566663607.8749287
499.6,4.548,1566663607.9405909
499.70000000000005,4.548,1566663608.006219
498.90000000000003,4.548,1566663608.0719514
495.8,4.548,1566663608.1377316
496.8,4.548,1566663608.2033362
496.70000000000005,4.548,1566663608.2689803
498.90000000000003,4.548,1566663608.3346238
498.1,4.548,1566663608.400367
499.40000000000003,4.548,1566663608.4659781
498.5,4.548,1566663608.5315902
498.6,4.548,1566663608.5973082
499.20000000000005,4.548,1566663608.663015
499.6,4.548,1566663608.7286322
497.8,4.548,1566663608.7943106
499.3,4.548,1566663608.8598893
499.6,4.548,1566663608.925535
499.1,4.548,1566663608.9912071
499.1,4.548,1566663609.0571544
498.70000000000005,4.548,1566663609.122799
499.40000000000003,4.548,1566663609.1883655
498.70000000000005,4.548,1566663609.2539556
498.90000000000003,4.548,1566663609.3195875
499.1,4.548,1566663609.3852932
499.20000000000005,4.548,1566663609.4509785
497.1,4.548,1566663609.5172787
498.6,4.548,1566663609.582997
497.90000000000003,4.548,1566663609.6485703
497.20000000000005,4.548,1566663609.7142975
499.20000000000005,4.548,1566663609.779899
499.1,4.548,1566663609.845443
499.3,4.548,1566663609.9120708
499.3,4.548,1566663609.9765873
498.6,4.548,1566663610.0422595
499.40000000000003,4.548,1566663610.1078942
499.40000000000003,4.548,1566663610.1735425
499.3,4.548,1566663610.2391536
499.70000000000005,4.548,1566663610.3048673
499.40000000000003,4.548,1566663610.371478
499.5,4.548,1566663610.43724
499.5,4.548,1566663610.5028381
499.40000000000003,4.548,1566663610.568559
499.5,4.548,1566663610.6342664
499.70000000000005,4.548,1566663610.6999147
499.3,4.548,1566663610.7655733
499.20000000000005,4.548,1566663610.8311744
499.20000000000005,4.548,1566663610.8970354
498.6,4.548,1566663610.9626248
499.6,4.548,1566663611.0283594
499.3,4.548,1566663611.09399
499.5,4.548,1566663611.1595051
499.40000000000003,4.548,1566663611.2251394
498.5,4.548,1566663611.2907155
497.40000000000003,4.548,1566663611.3565168
499.1,4.548,1566663611.4220583
499.40000000000003,4.548,1566663611.4876473
499.5,4.548,1566663611.5532658
500.0,4.548,1566663611.6189017
499.8,4.548,1566663611.6845582
499.8,4.548,1566663611.7500982
500.0,4.548,1566663611.8158257
499.5,4.548,1566663611.8814628
499.20000000000005,4.548,1566663611.948089
499.40000000000003,4.548,1566663612.0137115
499.6,4.548,1566663612.0794048
499.90000000000003,4.548,1566663612.1449609
499.3,4.548,1566663612.2105136
499.6,4.548,1566663612.2763011
499.20000000000005,4.548,1566663612.3419576
498.8,4.548,1566663612.4074867
499.6,4.548,1566663612.4730515
498.70000000000005,4.548,1566663612.5385554
499.40000000000003,4.548,1566663612.6043477
498.8,4.548,1566663612.6698923
499.6,4.548,1566663612.7356558
499.3,4.548,1566663612.801337
499.20000000000005,4.548,1566663612.867001
498.90000000000003,4.548,1566663612.9325259
499.1,4.548,1566663612.9983895
499.3,4.548,1566663613.0639834
499.1,4.548,1566663613.129677
499.3,4.548,1566663613.1955273
498.5,4.548,1566663613.2611833
499.6,4.548,1566663613.3268657
499.3,4.548,1566663613.3925488
499.6,4.548,1566663613.4582071
498.90000000000003,4.548,1566663613.5238955
498.70000000000005,4.548,1566663613.5896075
499.0,4.548,1566663613.6555624
499.70000000000005,4.548,1566663613.7212234
498.0,4.548,1566663613.786874
498.8,4.548,1566663613.8525321
497.8,4.548,1566663613.918217
499.70000000000005,4.548,1566663613.9838843
499.6,4.548,1566663614.0494862
499.20000000000005,4.548,1566663614.1152608
498.8,4.548,1566663614.1808548
499.1,4.548,1566663614.2465203
499.0,4.548,1566663614.312181
497.40000000000003,4.548,1566663614.377852
497.8,4.548,1566663614.443552
499.5,4.548,1566663614.5092957
499.8,4.548,1566663614.5755515
499.70000000000005,4.548,1566663614.641394
499.0,4.548,1566663614.707089
498.70000000000005,4.548,1566663614.7727668
499.5,4.548,1566663614.838566
498.6,4.548,1566663614.9042747
499.3,4.548,1566663614.9689572
499.70000000000005,4.548,1566663615.035306
498.6,4.548,1566663615.1008623
499.6,4.548,1566663615.1664603
499.1,4.548,1566663615.232041
499.0,4.548,1566663615.29765
497.8,4.548,1566663615.3632312
496.70000000000005,4.548,1566663615.430006
498.5,4.548,1566663615.4945571
498.6,4.548,1566663615.5603364
496.3,4.548,1566663615.6260417
499.40000000000003,4.548,1566663615.6916802
499.70000000000005,4.548,1566663615.7573404
499.1,4.548,1566663615.822934
499.1,4.548,1566663615.8886256
497.6,4.548,1566663615.9544697
498.8,4.548,1566663616.0201714
498.40000000000003,4.548,1566663616.0857317
499.40000000000003,4.548,1566663616.1524534
499.40000000000003,4.548,1566663616.2181003
499.3,4.548,1566663616.28374
499.20000000000005,4.548,1566663616.3493466
498.0,4.548,1566663616.4150858
497.70000000000005,4.548,1566663616.4806712
499.3,4.548,1566663616.5462348
498.40000000000003,4.548,1566663616.6117837
497.90000000000003,4.548,1566663616.6773107
499.40000000000003,4.548,1566663616.7429183
498.8,4.548,1566663616.8084073
499.70000000000005,4.548,1566663616.8742526
498.20000000000005,4.548,1566663616.9398284
498.3,4.548,1566663617.005392
497.8,4.548,1566663617.0720382
499.6,4.548,1566663617.1376832
499.5,4.548,1566663617.2032971
499.6,4.548,1566663617.2689424
498.8,4.548,1566663617.3349066
499.40000000000003,4.548,1566663617.4004443
498.20000000000005,4.548,1566663617.466128
498.6,4.548,1566663617.531753
499.0,4.548,1566663617.597544
499.5,4.548,1566663617.6631763
499.40000000000003,4.548,1566663617.7287908
499.8,4.548,1566663617.794564
499.5,4.548,1566663617.8603148
498.20000000000005,4.548,1566663617.925957
496.8,4.548,1566663617.9916933
499.6,4.548,1566663618.0574915
499.6,4.548,1566663618.1231232
499.8,4.548,1566663618.1887739
499.1,4.548,1566663618.2536242
499.8,4.548,1566663618.3203313
499.90000000000003,4.548,1566663618.3849633
498.90000000000003,4.548,1566663618.4507189
