mA,V,time
576.7,4.356,1578182903.2681925
574.1,4.356,1578182903.3349214
576.7,4.356,1578182903.4004948
575.1,4.356,1578182903.4660144
575.1,4.356,1578182903.5315633
576.7,4.356,1578182903.5971608
574.2,4.356,1578182903.6627636
576.2,4.356,1578182903.7283008
575.8000000000001,4.356,1578182903.795076
575.0,4.356,1578182903.8604503
576.9,4.356,1578182903.9260628
574.7,4.356,1578182903.9915736
576.3000000000001,4.356,1578182904.0571377
576.0,4.356,1578182904.1237621
574.5,4.356,1578182904.1894853
576.8000000000001,4.356,1578182904.2550135
574.5,4.356,1578182904.320416
575.9,4.356,1578182904.3861938
576.1,4.356,1578182904.4527204
574.6,4.356,1578182904.5182056
576.9,4.356,1578182904.583759
574.8000000000001,4.356,1578182904.6495152
575.3000000000001,4.356,1578182904.7149634
576.3000000000001,4.356,1578182904.7804651
574.2,4.356,1578182904.8461685
576.8000000000001,4.356,1578182904.9127178
575.0,4.356,1578182904.978195
575.1,4.356,1578182905.0437698
577.0,4.356,1578182905.1093524
574.3000000000001,4.356,1578182905.1750565
576.2,4.356,1578182905.241572
575.5,4.356,1578182905.307093
575.0,4.356,1578182905.3726325
576.9,4.356,1578182905.4382799
574.2,4.356,1578182905.5037408
576.3000000000001,4.356,1578182905.5704436
575.6,4.356,1578182905.6360292
574.8000000000001,4.356,1578182905.7017653
576.9,4.356,1578182905.7672007
574.4,4.356,1578182905.832696
575.9,4.356,1578182905.8985338
575.9,4.356,1578182905.965037
574.2,4.356,1578182906.0304635
576.9,4.356,1578182906.0960202
574.8000000000001,4.356,1578182906.1616197
575.8000000000001,4.356,1578182906.2271352
576.2,4.356,1578182906.2937684
574.1,4.356,1578182906.3592715
576.9,4.356,1578182906.4250119
575.2,4.356,1578182906.4904978
575.2,4.356,1578182906.556039
576.8000000000001,4.356,1578182906.6215713
574.1,4.356,1578182906.6872134
576.3000000000001,4.356,1578182906.7537417
575.2,4.356,1578182906.8193138
575.0,4.356,1578182906.8850195
576.9,4.356,1578182906.9504535
574.1,4.356,1578182907.017117
576.0,4.356,1578182907.0826828
575.8000000000001,4.356,1578182907.1481755
574.8000000000001,4.356,1578182907.2138174
577.4,4.356,1578182907.2793472
574.5,4.356,1578182907.3449295
576.2,4.356,1578182907.4115248
575.9,4.356,1578182907.477087
574.4,4.356,1578182907.5426548
577.0,4.356,1578182907.6082249
574.8000000000001,4.356,1578182907.673727
575.7,4.356,1578182907.7395036
576.3000000000001,4.356,1578182907.8060174
574.3000000000001,4.356,1578182907.871503
577.0,4.356,1578182907.9371715
575.2,4.356,1578182908.0028417
575.8000000000001,4.356,1578182908.0682383
576.8000000000001,4.356,1578182908.13493
574.3000000000001,4.356,1578182908.200451
576.7,4.356,1578182908.266084
575.6,4.356,1578182908.3315876
575.1,4.356,1578182908.3971152
577.0,4.356,1578182908.4626553
574.4,4.356,1578182908.5283704
576.3000000000001,4.356,1578182908.5950086
577.6,4.356,1578182908.6604247
575.2,4.356,1578182908.7259977
576.9,4.356,1578182908.7917888
574.5,4.356,1578182908.857085
576.4,4.356,1578182908.923705
575.8000000000001,4.356,1578182908.9892569
575.0,4.356,1578182909.0552456
576.9,4.356,1578182909.1205418
574.8000000000001,4.356,1578182909.1860242
575.8000000000001,4.356,1578182909.2526095
576.4,4.356,1578182909.3183181
574.5,4.356,1578182909.3837452
577.2,4.356,1578182909.4493253
574.8000000000001,4.356,1578182909.5149553
575.5,4.356,1578182909.5805168
576.7,4.356,1578182909.6471345
574.3000000000001,4.356,1578182909.7126274
577.4,4.356,1578182909.778227
575.2,4.356,1578182909.8439474
575.3000000000001,4.356,1578182909.9093733
576.8000000000001,4.356,1578182909.9749959
574.4,4.356,1578182910.0416853
576.6,4.356,1578182910.1073542
575.6,4.356,1578182910.1726036
575.0,4.356,1578182910.238205
577.2,4.356,1578182910.303809
574.4,4.356,1578182910.3704398
576.6,4.356,1578182910.436048
575.9,4.356,1578182910.501548
575.0,4.356,1578182910.5671148
576.9,4.356,1578182910.6327844
574.6,4.356,1578182910.6982062
576.1,4.356,1578182910.7649465
576.0,4.356,1578182910.8304842
574.7,4.356,1578182910.8960354
576.9,4.356,1578182910.9628382
574.7,4.356,1578182911.0274832
575.6,4.356,1578182911.0936522
576.5,4.356,1578182911.1591794
574.1,4.356,1578182911.2251236
576.8000000000001,4.356,1578182911.2902727
575.3000000000001,4.356,1578182911.3560538
575.7,4.356,1578182911.4215088
576.8000000000001,4.356,1578182911.4873192
574.6,4.356,1578182911.5536034
576.6,4.356,1578182911.620832
575.5,4.356,1578182911.6846502
575.0,4.356,1578182911.750582
577.5,4.356,1578182911.817007
574.5,4.356,1578182911.8817096
576.6,4.356,1578182911.9481952
575.7,4.356,1578182912.013426
575.1,4.356,1578182912.0793023
577.4,4.356,1578182912.1464403
574.5,4.356,1578182912.2114766
576.1,4.356,1578182912.276743
576.0,4.356,1578182912.3426774
574.7,4.356,1578182912.4097326
577.6,4.356,1578182912.4736433
574.7,4.356,1578182912.539455
